dashboard=http://127.0.0.1:8766
USDCAD side=hold confidence=0.07 reason=AI ensemble sell: probability 0.07 vs 0.00, gap 0.07, validation accuracy 71.9%, precision 80.9%, models 2, rows 211; RSI 49.8, ADX 41.3, ATR 2.7 pips, return_3 0.029%, volatility ratio 0.80; probability below 0.68
EURUSD side=hold confidence=0.90 reason=AI provisional sell: no strict validation-qualified models; probability 0.90 vs 0.11, gap 0.79, validation accuracy 14.6%, precision 11.8%, models 6, rows 214; RSI 66.5, ADX 38.1, ATR 2.7 pips, return_3 0.026%, volatility ratio 0.89; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.74 reason=AI provisional sell: no strict validation-qualified models; probability 0.74 vs 0.11, gap 0.64, validation accuracy 25.4%, precision 16.2%, models 6, rows 214; RSI 63.3, ADX 23.2, ATR 3.7 pips, return_3 0.021%, volatility ratio 1.10; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.96 reason=AI provisional sell: no strict validation-qualified models; probability 0.96 vs 0.03, gap 0.93, validation accuracy 34.2%, precision 33.7%, models 6, rows 214; RSI 63.9, ADX 12.7, ATR 1.9 pips, return_3 0.007%, volatility ratio 0.83; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.09 reason=AI ensemble sell: probability 0.09 vs 0.00, gap 0.09, validation accuracy 64.6%, precision 100.0%, models 2, rows 214; RSI 39.3, ADX 21.8, ATR 2.3 pips, return_3 -0.039%, volatility ratio 0.96; probability below 0.68
AUDUSD side=hold confidence=0.05 reason=AI ensemble buy: probability 0.05 vs 0.00, gap 0.05, validation accuracy 63.0%, precision 100.0%, models 1, rows 214; RSI 58.8, ADX 28.3, ATR 2.3 pips, return_3 0.021%, volatility ratio 0.90; probability below 0.68
USDCAD side=hold confidence=0.08 reason=AI ensemble sell: probability 0.08 vs 0.00, gap 0.08, validation accuracy 70.1%, precision 95.7%, models 2, rows 211; RSI 44.4, ADX 38.7, ATR 2.6 pips, return_3 0.014%, volatility ratio 0.85; probability below 0.68
EURUSD side=hold confidence=0.89 reason=AI provisional sell: no strict validation-qualified models; probability 0.89 vs 0.10, gap 0.79, validation accuracy 14.6%, precision 11.8%, models 6, rows 214; RSI 67.6, ADX 38.1, ATR 2.7 pips, return_3 0.031%, volatility ratio 0.89; provisional validation accuracy below 0.45
GBPUSD side=hold confidence=0.73 reason=AI provisional sell: no strict validation-qualified models; probability 0.73 vs 0.13, gap 0.61, validation accuracy 25.4%, precision 16.2%, models 6, rows 214; RSI 63.8, ADX 23.4, ATR 3.8 pips, return_3 0.023%, volatility ratio 1.10; provisional validation accuracy below 0.45
USDJPY side=hold confidence=0.93 reason=AI provisional sell: no strict validation-qualified models; probability 0.93 vs 0.06, gap 0.86, validation accuracy 34.2%, precision 33.7%, models 6, rows 214; RSI 57.1, ADX 12.7, ATR 1.9 pips, return_3 -0.001%, volatility ratio 0.81; provisional validation accuracy below 0.45
USDCHF side=hold confidence=0.06 reason=AI ensemble sell: probability 0.06 vs 0.00, gap 0.06, validation accuracy 64.6%, precision 100.0%, models 2, rows 214; RSI 37.6, ADX 21.8, ATR 2.3 pips, return_3 -0.046%, volatility ratio 0.96; probability below 0.68
AUDUSD side=hold confidence=0.06 reason=AI ensemble buy: probability 0.06 vs 0.00, gap 0.06, validation accuracy 63.0%, precision 100.0%, models 1, rows 214; RSI 59.9, ADX 28.3, ATR 2.4 pips, return_3 0.027%, volatility ratio 0.91; probability below 0.68
USDCAD side=hold confidence=0.08 reason=AI ensemble sell: probability 0.08 vs 0.00, gap 0.08, validation accuracy 70.1%, precision 95.7%, models 2, rows 211; RSI 43.2, ADX 38.9, ATR 2.6 pips, return_3 0.011%, volatility ratio 0.87; probability below 0.68
EURUSD side=hold confidence=0.90 reason=AI provisional sell: no strict validation-qualified models; probability 0.90 vs 0.08, gap 0.82, validation accuracy 14.6%, precision 11.8%, models 6, rows 214; RSI 67.4, ADX 38.1, ATR 2.7 pips, return_3 0.030%, volatility ratio 0.89; provisional validation accuracy below 0.45
